Date,Code,Open,High,Low,Close,UpperLimit,LowerLimit,Volume,TurnoverValue,AdjFactor,AdjustmentOpen,AdjustmentHigh,AdjustmentLow,AdjustmentClose,AdjustmentVolume
2026-01-13,27680,5523.0,5694.0,5510.0,5625.0,0,0,4023100.0,22589289500.0,1.0,5523.0,5694.0,5510.0,5625.0,4023100.0
2026-01-14,27680,5662.0,5834.0,5610.0,5773.0,0,0,4123700.0,23730671500.0,1.0,5662.0,5834.0,5610.0,5773.0,4123700.0
2026-01-15,27680,5751.0,6049.0,5735.0,6037.0,0,0,5004600.0,29805396300.0,1.0,5751.0,6049.0,5735.0,6037.0,5004600.0
2026-01-16,27680,6196.0,6257.0,5800.0,6050.0,0,0,9061300.0,54727020100.0,1.0,6196.0,6257.0,5800.0,6050.0,9061300.0
2026-01-19,27680,5999.0,6049.0,5914.0,6030.0,0,0,3067700.0,18357086000.0,1.0,5999.0,6049.0,5914.0,6030.0,3067700.0
2026-01-20,27680,5975.0,6018.0,5889.0,5910.0,0,0,2587700.0,15338571400.0,1.0,5975.0,6018.0,5889.0,5910.0,2587700.0
2026-01-21,27680,5790.0,5910.0,5741.0,5851.0,0,0,2350600.0,13747752900.0,1.0,5790.0,5910.0,5741.0,5851.0,2350600.0
2026-01-22,27680,5951.0,5951.0,5787.0,5807.0,0,0,2047200.0,11952950200.0,1.0,5951.0,5951.0,5787.0,5807.0,2047200.0
2026-01-23,27680,5803.0,5822.0,5695.0,5695.0,0,0,2058600.0,11819297000.0,1.0,5803.0,5822.0,5695.0,5695.0,2058600.0
2026-01-26,27680,5619.0,5660.0,5546.0,5554.0,0,0,1865900.0,10432498900.0,1.0,5619.0,5660.0,5546.0,5554.0,1865900.0
2026-01-27,27680,5592.0,5715.0,5560.0,5707.0,0,0,1888400.0,10698953100.0,1.0,5592.0,5715.0,5560.0,5707.0,1888400.0
2026-01-28,27680,5672.0,5686.0,5577.0,5633.0,0,0,1485600.0,8370361300.0,1.0,5672.0,5686.0,5577.0,5633.0,1485600.0
2026-01-29,27680,5627.0,5654.0,5553.0,5639.0,0,0,1224600.0,6866063300.0,1.0,5627.0,5654.0,5553.0,5639.0,1224600.0
2026-01-30,27680,5684.0,5692.0,5565.0,5628.0,0,0,1342500.0,7563555200.0,1.0,5684.0,5692.0,5565.0,5628.0,1342500.0
2026-02-02,27680,5717.0,5736.0,5439.0,5444.0,0,0,2159200.0,12030636200.0,1.0,5717.0,5736.0,5439.0,5444.0,2159200.0
2026-02-03,27680,5584.0,5775.0,5520.0,5572.0,0,0,4460100.0,24989353200.0,1.0,5584.0,5775.0,5520.0,5572.0,4460100.0
2026-02-04,27680,5672.0,5815.0,5542.0,5775.0,0,0,3696500.0,21134326300.0,1.0,5672.0,5815.0,5542.0,5775.0,3696500.0
2026-02-05,27680,5780.0,5810.0,5645.0,5771.0,0,0,2541600.0,14594446200.0,1.0,5780.0,5810.0,5645.0,5771.0,2541600.0
