code,name,sector,memo,lion_rank,settlement_month,next_settlement,buyback_pct,buyback_start,buyback_end,buyback_method
285A,キオクシアHD,電気機器,半導体メモリ,1,3,,,,,
6981,村田製作所,電気機器,,2,3,,,,,
9984,ソフトバンクグループ,情報通信業,,3,3,,,,,
3563,フード&ライフカンパニーズ,小売業,,4,3,,,,,
6862,ミナトHD,電気機器,半導体メモリ ROM書込み,5,10,,,,,
6920,レーザーテック,電気機器,半導体,6,6,,,,,
6232,ACSL,機械,ドローン,7,3,,,,,
5706,三井金属鉱業,非鉄金属,AIサーバー銅箔,8,3,,,,,
2768,双日,卸売業,,9,3,,,,,
7832,バンダイナムコホールディングス,その他製品,,10,3,,,,,
278A,TerraDrone,,ドローン,11,3,,,,,
485A,パワーX,,,12,12,,,,,
5803,フジクラ,非鉄金属,AI/データセンター関連,13,3,,,,,
5016,JX金属,非鉄金属,AIサーバー銅箔,14,3,,,,,
7013,IHI,機械,防衛・重工業,15,3,2027-05-08,,,,
